,곡률,0.70,,,,,,,거래일자,종가,매매모드,변동률,매수예정,LOC 매수목표,목표량,매수가,매수량,매수금액,수수료,목표가,MOC,MOC매도,,매도일,매도가,매도량,매도금액,수수료,당일실현,손익금액,손익률,누적손익,갱신,복리금액,자금갱신,시드증액,입출금,예수금,보유량,평가금,총자산,수익률,DD,예상수,실제수,절감액,비       고,,매도추출,목표가,매도량,,,매수가,수량,,매도가,수량,,유형,매매가,수량,%,,07.10.,주문가,수량,%,체결,%p,%     ,,,,매도추출,목표가,매도량,,,,매수가,수량,,매도가,수량,,"=calculateOrders(CF10:CH30,CC10:CE30)",,,
,,,,,,,,,12.01.(월),41.31 ,공세 ,0.1% ,"1,248.89 ",43.32 ,28 ,41.31 ,28 ,"1,156.68 ",,42.34 ,FALSE,12. 10.(수),9,12.02.(화),43.80 ,28 ,"1,226.40 ",,0.00,69.72 ,6.0% ,901.62 ,FALSE,,8742.20,,,"6,822.88 ",51 ,"2,106.81 ","8,929.69 ",8.0% ,0.0% ,1.06 ,0.00 ,1.06 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.02.(화),43.80 ,공세 ,6.0% ,"1,248.89 ",43.38 ,28 , , , ,, ,,,0,,, , ,,69.69, ,, ,FALSE,,8742.20,,,"8,049.28 ",23 ,"1,007.40 ","9,056.68 ",9.6% ,0.0% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.03.(수),46.58 ,공세 ,6.3% ,"1,248.89 ",45.99 ,27 , , , ,, ,,,0,,, , ,,0.00, ,, ,FALSE,,8742.20,,,"8,049.28 ",23 ,"1,071.34 ","9,120.62 ",10.4% ,0.0% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.04.(목),45.16 ,공세 ,-3.0% ,"1,248.89 ",48.91 ,25 ,45.16 ,25 ,"1,129.00 ",,46.29 ,FALSE,12. 15.(월),9,12.05.(금),46.50 ,25 ,"1,162.50 ",,0.00,33.50 ,3.0% ,935.12 ,FALSE,,8742.20,,,"6,920.28 ",48 ,"2,167.68 ","9,087.96 ",10.0% ,-0.4% ,1.03 ,0.00 ,1.03 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.05.(금),46.50 ,공세 ,3.0% ,"1,248.89 ",47.42 ,26 ,46.50 ,26 ,"1,209.00 ",,47.66 ,FALSE,12. 16.(화),9,12.08.(월),47.99 ,26 ,"1,247.74 ",,33.48,38.74 ,3.2% ,973.86 ,FALSE,,8742.20,,,"6,873.78 ",49 ,"2,278.50 ","9,152.28 ",10.7% ,0.0% ,1.10 ,0.00 ,1.10 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.08.(월),47.99 ,공세 ,3.2% ,"1,248.89 ",48.83 ,25 ,47.99 ,25 ,"1,199.75 ",,49.19 ,FALSE,12. 17.(수),9,12.10.(수),49.65 ,25 ,"1,241.25 ",,38.72,41.50 ,3.5% ,"1,015.36 ",FALSE,,8742.20,,,"6,921.77 ",48 ,"2,303.52 ","9,225.29 ",11.6% ,0.0% ,1.09 ,0.00 ,1.09 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.09.(화),47.79 ,공세 ,-0.4% ,"1,248.89 ",50.39 ,24 ,47.79 ,24 ,"1,146.96 ",,48.98 ,FALSE,12. 18.(목),9,12.10.(수),49.65 ,24 ,"1,191.60 ",,0.00,44.64 ,3.9% ,"1,060.00 ",TRUE,301.54,9043.74,,,"5,774.81 ",72 ,"3,440.88 ","9,215.69 ",11.5% ,-0.1% ,1.05 ,0.00 ,1.05 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.10.(수),49.65 ,공세 ,3.9% ,"1,291.96 ",50.18 ,25 ,49.65 ,25 ,"1,241.25 ",,50.89 ,TRUE,12. 19.(금),9,12.19.(금),41.72 ,25 ,"1,043.00 ",,110.70,-198.25 ,-16.0% ,861.75 ,FALSE,,9043.74,,,"8,108.36 ",25 ,"1,241.25 ","9,349.61 ",13.1% ,0.0% ,1.02 ,0.00 ,1.02 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.11.(목),48.79 ,공세 ,-1.7% ,"1,291.96 ",52.13 ,24 ,48.79 ,24 ,"1,170.96 ",,50.01 ,TRUE,12. 22.(월),9,12.22.(월),43.26 ,24 ,"1,038.24 ",,0.00,-132.72 ,-11.3% ,729.03 ,FALSE,,9043.74,,,"6,937.40 ",49 ,"2,390.71 ","9,328.11 ",12.9% ,-0.2% ,0.99 ,0.00 ,0.99 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12.12.(금),41.71 ,공세 ,-14.5% ,"1,291.96 ",51.23 ,25 ,41.71 ,25 ,"1,042.75 ",,42.75 ,FALSE,12. 23.(화),9,12.22.(월),43.26 ,25 ,"1,081.50 ",,0.00,38.75 ,3.7% ,767.78 ,FALSE,,42978.74,"33,935.00 ",,"39,829.65 ",74 ,"3,086.54 ","42,916.19 ",1.7% ,0.0% ,0.95 ,0.00 ,0.95 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
